No.,Time,Source,Destination,Protocol,Length,Info
11659.0,659.147615752,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11660.0,659.147615788,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11661.0,659.14761581,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11662.0,659.147615833,213.57.24.97,10.0.2.15,QUIC,538.0,Protected Payload (KP0)
11663.0,659.147615856,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11664.0,659.147651378,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11665.0,659.147651433,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11666.0,659.147651458,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11667.0,659.147651488,213.57.24.97,10.0.2.15,QUIC,538.0,Protected Payload (KP0)
11668.0,659.147651512,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11669.0,659.147651537,213.57.24.97,10.0.2.15,QUIC,378.0,Protected Payload (KP0)
11670.0,659.147651562,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11671.0,659.147651584,213.57.24.97,10.0.2.15,QUIC,666.0,Protected Payload (KP0)
11672.0,659.147980542,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11673.0,659.147980749,213.57.24.97,10.0.2.15,QUIC,378.0,Protected Payload (KP0)
11674.0,659.147980774,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11675.0,659.147980802,213.57.24.97,10.0.2.15,QUIC,1146.0,Protected Payload (KP0)
11676.0,659.147980841,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11677.0,659.147980873,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11678.0,659.147980904,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11679.0,659.147980933,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11680.0,659.148484171,213.57.24.97,10.0.2.15,QUIC,538.0,Protected Payload (KP0)
11681.0,659.148484396,213.57.24.97,10.0.2.15,QUIC,538.0,Protected Payload (KP0)
11682.0,659.148484502,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11683.0,659.148484547,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11684.0,659.148484582,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11685.0,659.149759486,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11686.0,659.14975958,213.57.24.97,10.0.2.15,QUIC,378.0,Protected Payload (KP0)
11687.0,659.151602482,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11688.0,659.151602877,213.57.24.97,10.0.2.15,QUIC,666.0,Protected Payload (KP0)
11689.0,659.15257057,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11690.0,659.155801188,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11691.0,659.156444594,213.57.24.97,10.0.2.15,QUIC,666.0,Protected Payload (KP0)
11692.0,659.156444832,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11693.0,659.156444875,213.57.24.97,10.0.2.15,QUIC,1018.0,Protected Payload (KP0)
11694.0,659.156764987,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11695.0,659.157477119,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11696.0,659.157477375,213.57.24.97,10.0.2.15,QUIC,378.0,Protected Payload (KP0)
11697.0,659.157837147,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11698.0,659.158169251,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11699.0,659.158734658,213.57.24.97,10.0.2.15,QUIC,378.0,Protected Payload (KP0)
11700.0,659.159278392,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11701.0,659.159278668,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11702.0,659.160790325,213.57.24.97,10.0.2.15,QUIC,410.0,Protected Payload (KP0)
11703.0,659.160790688,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11704.0,659.160790718,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11705.0,659.161135242,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11706.0,659.161721382,213.57.24.97,10.0.2.15,QUIC,666.0,Protected Payload (KP0)
11707.0,659.16204209,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11708.0,659.162636319,213.57.24.97,10.0.2.15,QUIC,666.0,Protected Payload (KP0)
11709.0,659.163085031,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11710.0,659.163380001,213.57.24.97,10.0.2.15,QUIC,1146.0,Protected Payload (KP0)
11711.0,659.163681127,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
